Teacher_ID,Period,Lesson,Student_ID,gen_gen_spec_spec,Why,new_code,text_code
10103,8,8.3,101323,spec,Because the question is asking you about only 1 specific thing and if I talked about all the chemical reactions in general it would not make sense because in different chemical reactions different things happen like bubble fix smell etc,2,two
10103,8,8.3,101403,spec,Because you cant just say reactant goes to substances you have to say copper plus acetic acid goes to copper acedite,5,five
10103,8,8.3,101542,spec,Your model should describe exactly what youre talking about,1,one
10103,8,8.3,101349,spec,Because if theirs too much stuff going on we wont undrstand it,2,two
10103,8,8.3,101355,spec,Because then you know exactly how it works and why it interacts,2,two
10103,8,8.3,101332,spec,Because thats the main idea of the experament,1,one
10103,8,8.3,101392,blank,Yes because thats what makes a good model,1,one
10103,8,8.3,101501,Yes,It helps the person better understand what you explaining in your model,2,two
10103,8,8.3,101464,spec,That way it is more specific,1,one
10103,8,8.3,101438,spec,In science it shouldnt just be general it should be a focus In science you should focus on something speciffic,1,one
10103,8,8.3,101587,spec,So whenever someone looks at it they can see and tell what happened and with what it happened with,2,two
10103,8,8.3,101586,spec,It gives more reasoning and evidence,2,two
10103,8,8.3,101447,spec,I think that its B because it should just focus on that one question because the answer would explain more,2,two
10103,8,8.3,101585,spec,Because its more detailed,1,one
10402,2,8.3,104136,spec,that is what it did,1,one
10402,2,8.3,104208,spec,because we are trying to find out how the green substance formed on the penny,1,one
10402,2,8.3,104132,spec,because we are trying to find out how the green substance formed on the penny,1,one
10402,2,8.3,104162,spec,because we are trying to find out how the green substance formed on the penny,1,one
10402,2,8.3,104128,spec,i think it should do b because we are concentrating on how copper and acetic acid form copper acetate,2,two
10402,2,8.3,104204,spec,not all atoms react the same way,3,three
10402,2,8.3,104147,spec,because the model shows how and why the substances interact,1,one
10402,2,8.3,104196,spec,because thats why its a model to show what and how its happening,1,one
10402,2,8.3,104186,spec,its a model to show how and what happened to make copper acetate,1,one
10402,2,8.3,104110,spec,because were trying to learn if acid rain makes new substances,4,four
10402,2,8.3,104156,spec,because specific answers have a easily and more understandable to find,nc,none
10402,2,8.3,104192,spec,because we are talking about those things not other stuff,1,one
10402,2,8.3,104150,spec,so that we can understand it better,nc,none
10402,2,8.3,104139,spec,because if we didnt then we wouldnt know about what was happening,2,two
10402,2,8.3,104107,gen,the model shows not only how it works for these molecules but how it will work for other molecules,4,four
10402,2,8.3,104120,spec,i think a model should explain this because if you just,nc,none
10402,2,8.3,104108,gen,it should focus generally so that it can apply to more than one chemical reaction the readers general knowledge about chemical reactions,4,four
10402,2,8.3,104137,spec,because this shows us how they react,1,one
10402,2,8.3,104158,spec,it is more specific and more important to know you will focus on specific things which is better than general things,2,two
10402,2,8.3,104129,gen,well because our goal of this model is to figure out what the reactants made and a explains our goal,1,one
10402,2,8.3,104148,spec,we should focus on this because if we draw general models we wont know what we are mixing and what the product is,2,two
10402,2,8.3,104189,spec,the model should show this because you need to know specific substances,1,one
10402,4,8.3,104126,spec,we used the specific molecules and atoms to represent a certain model,1,one
10402,4,8.3,104200,spec,it should focus on a specific substance because it can interact with them better especially the atoms,2,two
10402,4,8.3,104115,spec,we used the specific molecules and atoms to represent a certain experiment,1,one
10402,4,8.3,104103,spec,we used the specific molecules and atoms to represent a certain experiment,1,one
10402,4,8.3,104157,spec,because we are focusing on the chemical reaction that happened on the copper without touching the vinegar,1,one
10402,4,8.3,104165,spec,were focused on acetic acid in the air that effects things and not all chemical reactions are caused with air,3,three
10402,4,8.3,104143,spec,it describes in details how the two molecule forms formed,1,one
10402,4,8.3,104138,spec,because then our model is accurate and it,nc,none
10402,4,8.3,104173,spec,because you cant just talk about how substances interact with each other you need a specific detailed explanation,2,two
10402,4,8.3,104106,spec,because our model shows the equation for copper acetate when basically shows how copper and acetic acid and have a chemical reaction turn into copper acetate,1,one
10402,4,8.3,104140,spec,because general ways lead to many different ideas and not whats important,2,two
10402,4,8.3,104209,spec,yes because general is now specific,nc,none
10402,4,8.3,104184,gen,it should explain how the chemicals create a chemical reaction and form a new substance,1,one
10402,4,8.3,104114,gen,because we think that copper and acetic acid interact to form new substances the same way that any other substance interact,4,four
10402,4,8.3,104111,gen,because we think the copper and acetic acid interact to form new substances,4,four
10402,4,8.3,104164,spec,it will explain more of what happened,2,two
10402,4,8.3,104210,spec,because it will explain more of what happened,2,two
10402,4,8.3,104178,spec,because it describes in detail how everything happens,2,two
10402,4,8.3,104121,gen,it makes us learn more from less and making it easier for us to understand science better,2,two
10402,6,8.3,104141,spec,our model should focus on specific substances so we can see how they interact and form new ones but based on the lab that we did so we know what happens with an accurate example,2,two
10402,6,8.3,104135,gen,i think that because that is what we were studying,1,one
10402,6,8.3,104125,gen,the process is the same for each chemical reaction so it wouldnt make sense to model each chemical reaction,4,four
10402,6,8.3,104109,gen,the process is similar for all chemical reactions so it would make sense to have a general representation,4,four
10402,6,8.3,104105,gen,the process is the similar for all chemical reactions so it would make sense to do every single reaction using the same model,4,four
10402,6,8.3,104193,gen,the process is the same for all chemical reactions so it wouldnt make sense to model each chemical reactions,4,four
10402,6,8.3,104154,gen,the process if the same for all chemical reaction so it would not make sense,4,four
10402,6,8.3,104123,gen,i think it should be this way because it can explain other theories of chemical reactions,4,four
10402,6,8.3,104207,spec,because it focuses on one specific chemical reaction,1,one
10402,6,8.3,104112,spec,because it focuses on one chemical reaction,1,one
10402,6,8.3,104163,spec,yes because,nc,none
10402,6,8.3,104166,gen,it should be this way because it can explain other theories of chemical reactions,4,four
10402,6,8.3,104153,spec,yes because,nc,none
10402,6,8.3,104195,spec,i think that the model would be better this way so that it could be a specific and stonger model it would also make it easier to understand this way,2,two
10402,6,8.3,104175,spec,to focus on two substances is less confusing,2,two
10402,6,8.3,104118,spec,because it is a chemical reaction and then it can show different things like chemical reaction and ,nc,none
10402,6,8.3,104104,spec,yes because each chemical reaction has different reactions and the model wont be as accurate,2,two
10402,6,8.3,104134,gen,it should be this way because it has millions of ,nc,none
10402,6,8.3,104101,gen,it should be this way because it can explain other theories of chemical reactions,4,four
10402,7,8.3,104160,spec,so we know all the substances that we need in order to learn and stuff,1,one
10402,7,8.3,104131,gen,because it helps describe the reactions better,2,two
10402,7,8.3,104181,gen,it helps describe the reactions better,2,two
10402,7,8.3,104117,gen,because it helps us describe the reactions better,2,two
10402,7,8.3,104202,spec,blank,nc,none
10402,7,8.3,104183,spec,to focus on one thing to figure out more,2,two
10402,7,8.3,104201,gen,you will have a general idea for other models,2,two
10402,7,8.3,104176,gen,i chose a because if you have a general model then you can use it for more than one chemical reaction,4,four
10402,7,8.3,104197,gen,because were focusing on more than one chemical,1,one
10402,7,8.3,104177,spec,because your trying to know how and was it that made the penny green,1,one
10402,7,8.3,104145,spec,b is more specific about a substance,1,one
10402,7,8.3,104198,spec,because by making a model your showing what point your proving,1,one
10402,7,8.3,104168,gen,because you can use the info for different,nc,none
